Fecha,Usuarios,Sesiones,Porcentaje de rebote,Páginas/sesión,Duración media de la sesión,Tasa de conversión de comercio electrónico,Transacciones,CTR de la lista de productos,Número de sesiones por usuario
20220610,2.665,3.1,"43,35 %","5,30",00:03:56,"2,19 %",68,"0,00 %","1,16"
20220321,2.66,3.006,"45,74 %","4,81",00:03:37,"2,23 %",67,"0,00 %","1,13"
20211021,2.659,2.97,"46,30 %","5,15",00:03:37,"3,64 %",108,"0,00 %","1,12"
20220502,2.655,3.016,"44,79 %","5,37",00:03:20,"3,28 %",99,"0,00 %","1,14"
20220328,2.654,2.987,"46,17 %","4,87",00:03:13,"2,41 %",72,"0,00 %","1,13"
20221014,2.651,2.944,"44,29 %","4,90",00:03:31,"2,51 %",74,"0,00 %","1,11"
20220429,2.635,2.917,"44,02 %","5,35",00:03:20,"2,78 %",81,"0,00 %","1,11"
20220906,2.635,2.914,"43,75 %","5,04",00:03:08,"2,57 %",75,"0,00 %","1,11"
20220707,2.634,2.938,"42,72 %","5,13",00:03:21,"2,96 %",87,"0,00 %","1,12"
20220204,2.625,2.893,"48,70 %","4,82",00:03:10,"2,04 %",59,"0,00 %","1,10"
20220603,2.624,2.941,"45,43 %","5,44",00:03:29,"2,92 %",86,"0,00 %","1,12"
20220201,2.623,2.88,"48,06 %","4,79",00:03:00,"2,12 %",61,"0,00 %","1,10"
20220317,2.617,2.907,"42,45 %","5,31",00:03:27,"3,47 %",101,"0,00 %","1,11"
20220714,2.609,2.932,"41,98 %","5,30",00:03:26,"2,56 %",75,"0,00 %","1,12"
20220729,2.604,2.901,"39,71 %","5,59",00:03:55,"2,83 %",82,"0,00 %","1,11"
20220302,2.601,2.897,"47,46 %","4,65",00:03:12,"2,62 %",76,"0,00 %","1,11"
20220310,2.595,2.895,"46,77 %","4,83",00:03:24,"3,18 %",92,"0,00 %","1,12"
20220907,2.595,2.854,"45,83 %","4,86",00:03:01,"2,66 %",76,"0,00 %","1,10"
20221010,2.589,2.868,"44,00 %","4,77",00:03:02,"1,81 %",52,"0,00 %","1,11"
20220831,2.582,2.829,"42,91 %","4,99",00:03:12,"2,16 %",61,"0,00 %","1,10"
20211220,2.577,2.871,"39,60 %","7,07",00:04:47,"5,71 %",164,"0,00 %","1,11"
20220520,2.576,2.861,"46,24 %","5,28",00:03:33,"2,69 %",77,"0,00 %","1,11"
20220316,2.574,2.867,"44,09 %","5,10",00:03:38,"2,76 %",79,"0,00 %","1,11"
20220824,2.57,2.866,"41,80 %","5,48",00:03:24,"2,72 %",78,"0,00 %","1,12"
20221027,2.569,2.885,"42,15 %","4,77",00:03:22,"2,11 %",61,"0,00 %","1,12"
20220908,2.567,2.833,"43,28 %","5,02",00:03:02,"2,47 %",70,"0,00 %","1,10"
20220617,2.563,2.836,"45,13 %","5,70",00:03:48,"0,00 %",0,"0,00 %","1,11"
20220915,2.557,2.859,"40,26 %","4,95",00:03:29,"2,17 %",62,"0,00 %","1,12"
20220330,2.546,2.834,"42,98 %","5,46",00:03:46,"2,40 %",68,"0,00 %","1,11"
20220329,2.545,2.835,"43,39 %","5,12",00:03:19,"1,90 %",54,"0,00 %","1,11"
20221024,2.54,2.834,"43,97 %","5,09",00:03:30,"2,29 %",65,"0,00 %","1,12"
20220514,2.532,2.719,"68,19 %","3,09",00:01:54,"0,85 %",23,"0,00 %","1,07"
20220722,2.532,2.799,"42,30 %","5,78",00:03:45,"2,72 %",76,"0,00 %","1,11"
20211126,2.531,2.746,"52,37 %","4,53",00:02:58,"3,13 %",86,"0,00 %","1,08"
20220822,2.529,2.842,"42,79 %","5,45",00:03:26,"2,81 %",80,"0,00 %","1,12"
20211105,2.528,2.829,"42,70 %","5,41",00:03:39,"4,52 %",128,"0,00 %","1,12"
20211011,2.526,2.792,"45,16 %","4,68",00:03:03,"2,54 %",71,"0,00 %","1,11"
20220815,2.524,2.816,"41,83 %","5,18",00:03:20,"2,84 %",80,"0,00 %","1,12"
20211112,2.523,2.803,"44,92 %","5,43",00:03:32,"4,03 %",113,"0,00 %","1,11"
20220222,2.52,2.785,"47,04 %","4,44",00:03:04,"2,15 %",60,"0,00 %","1,11"
20220112,2.516,2.787,"48,55 %","4,72",00:02:59,"2,66 %",74,"0,00 %","1,11"
20220111,2.511,2.782,"47,63 %","4,54",00:03:02,"1,76 %",49,"0,00 %","1,11"
20211101,2.51,2.84,"42,89 %","5,72",00:03:51,"4,47 %",127,"0,00 %","1,13"
20220325,2.507,2.793,"42,32 %","5,81",00:03:42,"3,65 %",102,"0,00 %","1,11"
20220124,2.506,2.769,"47,60 %","4,68",00:02:56,"2,06 %",57,"0,00 %","1,10"
20220817,2.506,2.811,"42,94 %","5,48",00:03:11,"2,53 %",71,"0,00 %","1,12"
20220912,2.502,2.814,"41,36 %","5,04",00:03:14,"2,10 %",59,"0,00 %","1,12"
20220624,2.501,2.791,"46,08 %","5,30",00:03:21,"2,11 %",59,"0,00 %","1,12"
20211014,2.499,2.766,"46,10 %","4,99",00:03:21,"2,57 %",71,"0,00 %","1,11"
20220307,2.499,2.779,"48,51 %","4,94",00:03:23,"3,63 %",101,"0,00 %","1,11"
20220118,2.497,2.745,"48,20 %","4,69",00:02:47,"2,37 %",65,"0,00 %","1,10"
20220422,2.497,2.794,"46,89 %","5,03",00:03:20,"2,11 %",59,"0,00 %","1,12"
20220303,2.491,2.775,"44,94 %","4,52",00:03:04,"2,77 %",77,"0,00 %","1,11"
20220515,2.491,2.67,"63,33 %","3,74",00:02:13,"1,42 %",38,"0,00 %","1,07"
20211119,2.49,2.783,"45,02 %","5,17",00:03:21,"3,84 %",107,"0,00 %","1,12"
20220811,2.489,2.776,"41,07 %","5,38",00:03:27,"2,67 %",74,"0,00 %","1,12"
20220214,2.484,2.734,"45,90 %","4,45",00:02:58,"1,87 %",51,"0,00 %","1,10"
20220119,2.481,2.727,"49,10 %","4,31",00:02:44,"0,88 %",24,"0,00 %","1,10"
20220914,2.479,2.754,"43,79 %","4,60",00:03:05,"2,03 %",56,"0,00 %","1,11"
20211004,2.465,2.73,"45,27 %","4,90",00:03:07,"3,63 %",99,"0,00 %","1,11"
20220110,2.465,2.719,"50,02 %","4,50",00:02:51,"2,61 %",71,"0,00 %","1,10"
20220527,2.465,2.729,"46,46 %","5,09",00:03:01,"2,89 %",79,"0,00 %","1,11"
20220816,2.455,2.747,"40,95 %","5,46",00:03:29,"2,91 %",80,"0,00 %","1,12"
20220826,2.455,2.748,"40,47 %","6,04",00:04:00,"3,06 %",84,"0,00 %","1,12"
20220415,2.452,2.723,"48,11 %","5,07",00:03:00,"3,23 %",88,"0,00 %","1,11"
20220128,2.448,2.719,"48,80 %","4,55",00:02:55,"1,95 %",53,"0,00 %","1,11"
20220113,2.445,2.713,"46,11 %","4,98",00:03:10,"2,29 %",62,"0,00 %","1,11"
20221031,2.445,2.708,"44,46 %","4,85",00:03:25,"2,18 %",59,"0,00 %","1,11"
20220131,2.428,2.703,"47,91 %","4,76",00:03:02,"2,70 %",73,"0,00 %","1,11"
20220930,2.424,2.79,"45,23 %","4,90",00:03:35,"1,97 %",55,"0,00 %","1,15"
20220301,2.409,2.71,"48,41 %","4,52",00:03:13,"2,36 %",64,"0,00 %","1,12"
20220830,2.409,2.666,"42,46 %","4,93",00:03:11,"2,96 %",79,"0,00 %","1,11"
20220805,2.403,2.681,"40,21 %","5,96",00:03:55,"3,02 %",81,"0,00 %","1,12"
20220715,2.397,2.625,"41,94 %","5,35",00:03:27,"2,67 %",70,"0,00 %","1,10"
20220314,2.393,2.671,"46,09 %","4,89",00:03:30,"3,11 %",83,"0,00 %","1,12"
20220923,2.388,2.671,"41,52 %","5,33",00:03:32,"2,77 %",74,"0,00 %","1,12"
20220829,2.386,2.642,"40,01 %","5,63",00:03:30,"3,10 %",82,"0,00 %","1,11"
20220223,2.385,2.613,"46,80 %","4,80",00:03:05,"2,60 %",68,"0,00 %","1,10"
20221007,2.375,2.603,"43,14 %","5,34",00:03:32,"2,38 %",62,"0,00 %","1,10"
20211008,2.367,2.676,"42,53 %","5,49",00:03:48,"3,33 %",89,"0,00 %","1,13"
20211221,2.366,2.622,"41,91 %","6,14",00:03:41,"4,23 %",111,"0,00 %","1,11"
20220315,2.345,2.598,"44,46 %","5,04",00:03:15,"2,58 %",67,"0,00 %","1,11"
20220620,2.344,2.595,"50,79 %","4,34",00:02:57,"1,35 %",35,"0,00 %","1,11"
20220705,2.319,2.528,"51,82 %","4,31",00:02:45,"1,70 %",43,"0,00 %","1,09"
20220901,2.313,2.57,"43,04 %","5,42",00:03:28,"2,72 %",70,"0,00 %","1,11"
20220105,2.312,2.554,"47,42 %","4,96",00:03:03,"2,82 %",72,"0,00 %","1,10"
20220701,2.291,2.53,"45,89 %","5,14",00:03:30,"2,69 %",68,"0,00 %","1,10"
20211029,2.286,2.554,"44,28 %","5,61",00:03:40,"5,01 %",128,"0,00 %","1,12"
20221021,2.285,2.526,"42,12 %","5,24",00:03:25,"2,49 %",63,"0,00 %","1,11"
20211125,2.278,2.538,"53,55 %","4,17",00:03:07,"1,93 %",49,"0,00 %","1,11"
20220530,2.271,2.476,"53,72 %","3,98",00:02:35,"1,21 %",30,"0,00 %","1,09"
20220224,2.269,2.539,"45,73 %","4,95",00:03:25,"2,64 %",67,"0,00 %","1,12"
20211222,2.266,2.49,"42,49 %","5,87",00:03:28,"4,06 %",101,"0,00 %","1,10"
20220409,2.262,2.519,"52,52 %","3,67",00:02:27,"0,75 %",19,"0,00 %","1,11"
20220708,2.254,2.481,"42,40 %","5,20",00:03:23,"2,34 %",58,"0,00 %","1,10"
20220104,2.251,2.47,"45,38 %","4,89",00:02:58,"2,39 %",59,"0,00 %","1,10"
20211015,2.249,2.545,"43,81 %","5,34",00:03:42,"3,34 %",85,"0,00 %","1,13"
20220812,2.245,2.451,"40,31 %","6,55",00:03:43,"3,84 %",94,"0,00 %","1,09"
20220228,2.188,2.415,"45,84 %","4,85",00:03:15,"2,53 %",61,"0,00 %","1,10"
20220401,2.164,2.393,"45,05 %","5,41",00:03:36,"3,68 %",88,"0,00 %","1,11"
20221028,2.147,2.401,"41,82 %","5,35",00:03:46,"2,92 %",70,"0,00 %","1,12"
20220909,2.142,2.37,"40,72 %","5,52",00:03:31,"2,74 %",65,"0,00 %","1,11"
20220218,2.14,2.367,"47,49 %","4,59",00:03:02,"2,62 %",62,"0,00 %","1,11"
20220121,2.132,2.355,"47,26 %","4,88",00:03:11,"2,25 %",53,"0,00 %","1,10"
20220318,2.124,2.392,"46,24 %","5,03",00:03:30,"2,93 %",70,"0,00 %","1,13"
20211001,2.121,2.336,"43,88 %","5,57",00:03:35,"4,02 %",94,"0,00 %","1,10"
20220819,2.12,2.349,"43,04 %","6,05",00:03:55,"3,83 %",90,"0,00 %","1,11"
20220410,2.11,2.327,"51,27 %","4,06",00:02:34,"1,20 %",28,"0,00 %","1,10"
20220114,2.072,2.289,"46,22 %","4,84",00:03:08,"2,10 %",48,"0,00 %","1,10"
20220704,2.065,2.268,"54,89 %","3,54",00:02:23,"0,97 %",22,"0,00 %","1,10"
20220916,2.047,2.247,"39,61 %","5,27",00:03:43,"2,36 %",53,"0,00 %","1,10"
20220106,2.044,2.209,"47,44 %","4,80",00:02:44,"2,58 %",57,"0,00 %","1,08"
20220225,2.043,2.283,"46,39 %","5,08",00:03:19,"4,56 %",104,"0,00 %","1,12"
